Date,JPM.Open,JPM.High,JPM.Low,JPM.Close,JPM.Volume,JPM.Adjusted
1,48,48.369999,47.59,48.07,14244700,32.522346
2,48.049999,48.549999,47.75,48.189999,9471500,32.603531
3,48.169998,48.25,47.630001,47.790001,10760500,32.332909
4,47.57,48.060001,47.32,47.950001,8239200,32.441154
5,47.900002,48.110001,47.360001,47.75,9276700,32.305855
6,47.470001,48.119999,47.439999,48.099998,15597000,32.542648
7,48,48.419998,47.939999,48.310001,8049200,32.684727
8,48.099998,48.259998,47.900002,47.990002,10646700,32.468231
9,48.16,48.459999,48.099998,48.389999,8696500,32.738853
10,48.650002,48.889999,48.119999,48.43,16291400,32.765907
11,48.049999,48.580002,47.919998,48.150002,12654200,32.576477
12,48.299999,48.830002,48.139999,48.759998,14649200,32.989178
13,48.869999,49.860001,48.700001,49.66,18325500,33.598087
14,49.57,49.860001,49.279999,49.830002,12845300,33.7131
15,49.68,50.400002,49.509998,50.360001,13857500,34.071682
16,50.240002,50.68,49.93,50.209999,14855900,33.970196
17,50,50.25,49.5,49.700001,13990300,33.625149
18,49.57,49.650002,49.110001,49.470001,12085000,33.469524
19,49.700001,50.25,49.369999,50.18,12325700,33.949905
20,50.07,51.16,49.849998,50.93,18460500,34.457325
21,50.959999,51.240002,50.860001,51.209999,13420400,34.646755
22,51.220001,51.330002,50.73,50.93,15443400,34.457325
23,50.810001,51.150002,50.540001,50.959999,8079900,34.477612
24,50.849998,51.32,50.759998,51,9849200,34.504688
25,50.84,51.220001,50.799999,51.209999,7537400,34.646755
26,51.060001,51.060001,50.52,50.93,10312300,34.457325
27,51.02,51.189999,50.080002,50.419998,9489000,34.112259
28,50.59,50.650002,50.25,50.439999,7889000,34.125809
29,50.349998,51.02,50.330002,50.950001,8374100,34.470848
30,51.09,51.549999,51,51.419998,10745900,34.788841
31,51.049999,51.470001,50.889999,51.209999,13339600,34.646755
32,51.16,51.349998,51.009998,51.25,11291900,34.673817
33,51.150002,51.75,51.119999,51.630001,9171500,34.930916
34,51.450001,51.849998,51.27,51.650002,9337100,34.944447
35,51.799999,51.950001,51.380001,51.639999,9111600,34.937683
36,51.549999,51.75,50.720001,51.029999,10042600,34.524967
37,51.169998,51.419998,50.43,50.810001,13342800,34.376133
38,50.610001,50.610001,47.599998,49.220001,21228500,33.300396
39,49.07,49.889999,48.889999,49.389999,19180400,33.415405
40,48.98,49.439999,48.299999,49.200001,22648000,33.286873
41,48.950001,49,48.110001,48.189999,16922400,32.603531
42,47.599998,48.16,47.200001,47.540001,20199600,32.163773
43,47.970001,48.68,47.43,48.52,17751900,32.826797
44,48.689999,48.869999,48.259998,48.360001,13664500,32.718555
45,48.790001,49.349998,48.619999,48.740002,11979500,32.975655
46,49.119999,49.349998,48.529999,48.82,9452900,33.02977
47,48.639999,48.98,48.599998,48.84,10445700,33.043308
48,48.450001,48.5,46.560001,46.700001,25294400,31.595469
49,46.720001,47.549999,45.91,47.299999,25043400,32.001392
50,47.139999,48.189999,47.139999,47.700001,15828300,32.272026
51,47.619999,47.830002,46.98,47.029999,24746900,31.818731
52,47.200001,47.799999,47.16,47.580002,14448200,32.190834
53,47.509998,47.880001,47.330002,47.75,14507400,32.305855
54,47.810001,49.650002,47.810001,49.049999,20747600,33.185379
55,49.060001,49.099998,48.360001,48.470001,18906700,32.792976
56,48.59,48.889999,48.43,48.52,11748200,32.826797
57,48.549999,48.779999,47.939999,48.700001,11851000,32.948586
58,48.59,48.82,48.349998,48.57,11183500,32.860634
59,48.290001,48.48,47.790001,47.990002,13176700,32.468231
60,48.240002,48.639999,48.02,48.5,10837100,32.813271
61,48.610001,49.02,47.950001,48.380001,12674800,32.732101
62,48.380001,48.490002,47.700001,48.240002,13834500,32.637363
63,48.25,48.59,48.09,48.560001,13572200,33.087055
64,48.560001,48.709999,48.27,48.560001,9163600,33.087055
65,48.349998,48.889999,48.34,48.77,7991000,33.230152
66,48.779999,49.130001,48.66,49,7509000,33.386879
67,49.009998,49.34,48.98,49.240002,8200100,33.550388
68,49.099998,49.34,48.98,49.150002,11971300,33.489071
69,49.52,49.52,48.73,49.200001,9472400,33.523136
70,49.450001,49.450001,48.66,49.09,11266300,33.448181
71,49.470001,50.25,49.32,49.970001,15765000,34.047791
72,49.970001,50.419998,49.709999,50.18,12238500,34.19088
73,51.57,52.669998,51.43,52.07,39198500,35.478653
74,52.029999,52.23,51.349998,52.09,20708700,35.492283
75,52.650002,52.709999,52.099998,52.540001,21166800,35.798904
76,52.349998,52.700001,52.049999,52.279999,12675600,35.621738
77,52.060001,52.279999,51.650002,52.16,10315700,35.539978
78,52.240002,52.939999,52.18,52.82,18088100,35.989677
79,52.77,53,52.560001,52.939999,14440500,36.071445
80,52.77,52.799999,52.139999,52.549999,14428600,35.805717
81,52.459999,53.060001,51.990002,52.099998,29900000,35.499096
82,52.400002,52.5,51.599998,52.259998,13859000,35.608116
83,52,52.77,52,52.549999,12968600,35.805717
84,52.830002,52.919998,52.369999,52.700001,9700300,35.907913
85,52.799999,53.049999,52.59,52.630001,11974600,35.860229
86,52.810001,52.950001,52.549999,52.73,7375400,35.92836
87,52.48,52.650002,52.23,52.450001,9028200,35.737572
88,52.549999,53.25,52.43,53.200001,12561700,36.248596
89,52.790001,53.029999,51.950001,52,13478400,35.430965
90,52.119999,52.380001,51.720001,52.150002,12419400,35.533165
91,52,52.16,51.549999,51.830002,9328300,35.315125
92,52.09,52.709999,52,52.029999,11105000,35.451405
93,52.369999,53.07,52.200001,52.98,12924700,36.098698
94,52.779999,53,52.5,52.560001,9049900,35.812523
95,52.619999,52.93,52.450001,52.540001,11115100,35.798904
96,52.380001,52.810001,52.310001,52.560001,10408300,35.812523
97,52.560001,52.68,52.09,52.290001,9665800,35.628559
98,52.330002,52.639999,51.93,51.990002,11246900,35.424152
99,52,52.240002,51.450001,51.59,13105800,35.151611
100,51.529999,51.849998,51.259998,51.639999,10761300,35.185658
101,51.650002,51.919998,51.450001,51.82,9552300,35.308315
102,51.43,52.060001,51.349998,52.060001,10243400,35.471855
103,52.25,52.310001,51.669998,51.830002,10976300,35.315125
104,51.919998,52.080002,51.66,51.900002,12104800,35.36282
105,51.560001,51.799999,51.540001,51.57,11095500,35.137978
106,51.240002,51.490002,51.189999,51.220001,13615700,34.899494
107,51.23,51.23,50.259998,50.560001,13877400,34.449791
108,50.299999,50.650002,49.740002,49.82,17409400,33.945583
109,49.830002,50.48,49.540001,50.41,13508100,34.347591
110,50.41,50.84,50.029999,50.43,11252000,34.361217
111,50.220001,50.400002,49.34,49.349998,15388300,33.625343
112,49.630001,50.389999,49.52,50.290001,14507600,34.265823
113,49.93,50.830002,49.93,50.32,12440700,34.286266
114,50.639999,50.990002,50.419998,50.560001,18351900,34.449791
115,50.830002,50.849998,50.330002,50.43,9290300,34.361217
116,50.439999,50.880001,50.290001,50.849998,12251900,34.647388
117,50.91,50.990002,49.419998,49.459999,14920700,33.700302
118,49.689999,49.880001,48.68,49.84,19429500,33.959221
119,49.560001,49.75,48.580002,48.720001,25110400,33.196083
120,48.720001,49.209999,48.060001,48.360001,17240200,32.950779
121,48.450001,49.049999,48.299999,48.599998,18963800,33.114319
122,48.259998,49.299999,48.080002,49.240002,16354200,33.550388
123,49.25,49.48,48.560001,48.959999,14430900,33.3596
124,49.23,49.299999,48.099998,48.450001,21764700,33.012119
125,48.900002,49.25,48.57,49.150002,15717900,33.489071
126,49.189999,49.580002,49.040001,49.34,7444000,33.880466
127,49.099998,49.349998,48.650002,48.790001,11613000,33.502804
128,48.619999,49.16,48.450001,48.970001,10792400,33.626404
129,49.209999,49.279999,48.529999,48.790001,10577700,33.502804
130,48.299999,48.57,47.459999,47.509998,21881800,32.623871
131,47.52,48.439999,47.119999,48.130001,27232500,33.049606
132,48.689999,49.630001,48.130001,49.529999,19172800,34.010937
133,49.68,50.220001,49.27,50.049999,16393800,34.368019
134,49.91,50.459999,49.73,49.830002,12263900,34.216949
135,49.950001,50.48,49.830002,49.919998,18302200,34.278759
136,48.810001,49.290001,47.830002,48.880001,35535600,33.564613
137,49.5,49.689999,47.84,48.619999,26199400,33.386074
138,48.810001,48.810001,47.380001,47.560001,30677800,32.658188
139,47.75,47.869999,47.060001,47.150002,20520200,32.376652
140,46.630001,46.950001,45.119999,45.34,35706200,31.133776
141,45.669998,46.209999,44.290001,45.27,40175100,31.085712
142,44.299999,44.549999,43.5,44.080002,51202000,30.268566
143,44.09,45.240002,43.700001,44.23,40020600,30.371571
144,44.75,45.139999,43.610001,44.75,32316300,30.728638
145,45.07,45.970001,43.939999,44.009998,34080900,30.220503
146,43.700001,44.439999,43.200001,44.380001,44504500,30.474577
147,44.41,44.759998,44,44.59,28297400,30.618776
148,44.599998,44.950001,43.389999,43.650002,36628500,29.973293
149,43.759998,45.110001,43.279999,45.110001,34200000,30.975843
150,44.990002,46.049999,44.150002,45.34,30556500,31.133776
151,45.75,47.23,45.27,46.509998,27447200,31.93718
152,45.040001,45.939999,44.169998,44.169998,39278200,30.33036
153,43.360001,44.799999,42.509998,44.25,32549000,30.385305
154,45.23,45.43,43.68,43.830002,21357600,30.096914
155,43.939999,44.02,43.130001,43.299999,25217200,29.732952
156,43.130001,44.419998,42.810001,43,27726700,29.526968
